timestamp,event_type,token_id,reset_time_utc8
2026-05-01 03:36:49,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-01 11:36:49
2026-05-01 03:36:56,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-01 11:36:56
2026-05-01 09:58:18,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-01 17:58:18
2026-05-01 09:58:28,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-01 17:58:28
2026-05-01 14:41:38,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-01 22:41:38
2026-05-01 14:41:46,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-01 22:41:46
2026-05-01 21:39:31,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 05:39:31
2026-05-01 21:39:39,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 05:39:39
2026-05-02 03:35:45,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 11:35:45
2026-05-02 03:35:54,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 11:35:54
2026-05-02 09:45:10,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 17:45:10
2026-05-02 09:45:18,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 17:45:18
2026-05-02 14:39:19,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 22:39:19
2026-05-02 14:39:28,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 22:39:28
2026-05-02 21:37:36,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 05:37:36
2026-05-02 21:37:45,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 05:37:45
2026-05-03 03:36:23,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 11:36:23
2026-05-03 03:36:33,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 11:36:33
2026-05-03 09:50:21,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 17:50:21
2026-05-03 09:50:29,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 17:50:29
2026-05-03 14:39:27,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 22:39:27
2026-05-03 14:39:35,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 22:39:35
2026-05-03 21:37:49,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 05:37:49
2026-05-03 21:37:57,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 05:37:57
2026-05-04 03:36:26,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 11:36:26
2026-05-04 03:36:35,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 11:36:35
2026-05-04 10:08:09,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 18:08:09
2026-05-04 10:08:18,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 18:08:18
2026-05-04 15:07:54,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 23:07:54
2026-05-04 15:08:03,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 23:08:03
2026-05-04 21:44:56,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-05 05:44:56
2026-05-04 21:45:05,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-05 05:45:05
2026-05-05 03:36:00,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-05 11:36:00
